song_name,artist,mood,genre,url
"Intro","The xx","focused","Indie",https://open.spotify.com/track/2usrT8QIbIk9y0NEtQwS4j?si=d1e1756bfb634a1a
"Midnight City","M83","focused","Electronic",https://open.spotify.com/track/6GyFP1nfCDB8lbD2bG0Hq9?si=b9ef72e3071a45df
"Night Owl","Galimatias","focused","Electronic",https://open.spotify.com/track/0p5VDCELfc4G3okOo0SkPw?si=6c5e5b537be646fc
"Sunset Lover","Petit Biscuit","focused","Electronic",https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1?si=661026b689394051
"Cold/Mess","Prateek Kuhad","focused","Indie Folk",https://open.spotify.com/track/7uhINGViZPygI2AljxO8KN?si=5bfe4f4b14e04c06
"Kho Gaye Hum Kahan","Jubin Nautiyal, Prateek Kuhad","focused","Indie Pop",https://open.spotify.com/track/7nPCAO0Q9AHbM7PWyj9O98?si=79c9db9293f2411e
"Kun Faya Kun","A.R. Rahman, Javed Ali, Mohit Chauhan","focused","Sufi",https://open.spotify.com/track/7F8RNvTQlvbeBLeenycvN6?si=0729478ef8574ceb
"Phir Le Aaya Dil (Reprise)","Shafqat Amanat Ali","focused","Bollywood",https://open.spotify.com/track/7fpWJr5shT90KiCHXKHxch?si=450bea339fed4f29
"Heat Waves","Glass Animals","focused","Indie Folk",https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp?si=a1b06475affe4bad
"Ilahi","Arijit Singh","focused","Bollywood",https://open.spotify.com/track/5cgKosPPj5Cs9a2JQufUc1?si=875da17182864f21
"Yeh Honsla","Mohit Chauhan","focused","Bollywood",https://open.spotify.com/track/5Y9tt5BF9cjF5tfVoknQxl?si=530717764e824f96
"Peaches","Justin Bieber","refreshed","Pop","https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI"
"Dynamite","BTS","refreshed","K-Pop",https://open.spotify.com/track/72IwoG8tqvIWV10IHjpNNA?si=06cca8cf1d2846f7
"Stay","The Kid LAROI & Justin Bieber","refreshed","Pop",https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20?si=8d7673ca772b44bb
"Butter","BTS","refreshed","K-Pop",https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB?si=ea5b62b75d2d4a0c
"Despacito","Justin Bieber","refreshed","Pop","https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2"
"Dance Monkey","Tones And I","refreshed","K-Pop","https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K"
"Permission to Dance","BTS","refreshed","K-Pop",https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry?si=79cf0344d48d43bd
"Life Goes On","BTS","refreshed","K-Pop",https://open.spotify.com/track/5FVbvttjEvQ8r2BgUcJgNg?si=c153df4e52f643e6
"Where Are Ü Now","Skrillex & Diplo ft. Justin Bieber","refreshed","EDM/Pop",https://open.spotify.com/track/66hayvUbTotekKU3H4ta1f?si=037cfdb1d3584072
"Savage Love","Viral DJs","focused","K-Pop",https://open.spotify.com/track/5WkJLbzJ5GfDx60tBrbNfi?si=8bc4146ccd904d21
"Brown Munde","AP Dhillon, Gurinder Gill, Shinda Kahlon","refreshed","Punjabi Hip-Hop",https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4?si=20f56582b1fb4622
"Excuses","AP Dhillon, Gurinder Gill","refreshed","Punjabi Hip-Hop",https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV?si=4e41d71da0d441eb
"Genda Phool","Badshah, Payal Dev","refreshed","Bollywood/Pop",https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf?si=4319030ec04e4cbb
"Pasoori","Ali Sethi, Shae Gill","refreshed","Punjabi/Pop",https://open.spotify.com/track/6byRW2mzuc4nBTZ6TN6APu?si=f3ee779223fc40b8
"Kala Chashma","Badshah, Neha Kakkar, Amar Arshi","refreshed","Bollywood Dance",https://open.spotify.com/track/6mdLX10dvBb7rGYbMXpKzz?si=7f6e43e29f354d2e
"Tareefan","Badshah","refreshed","Bollywood Pop",https://open.spotify.com/track/2SN54RFfaafTk7TE1n1Na4?si=fd190605bd1a40c8
"Coca Cola","Tony Kakkar, Young Desi","refreshed","Bollywood Pop",https://open.spotify.com/track/352wEkChkiClswqwDoM0nj?si=19aec419cf894309
"California","Chemma Y","focused","Punjabi pop",https://open.spotify.com/track/610keNiNVTIkYD0CqeSerg?si=5ab4a763cb484ef2
